Label,# Samples,Average,Median,90% Line,95% Line,99% Line,Min,Max,Error %,Throughput,Received KB/sec,Sent KB/sec
Application Launched,2,4169,3066,5272,5272,5272,3066,5272,0.000%,.01204,0.03,0.01
TC_Launch,2,4169,3066,5272,5272,5272,3066,5272,0.000%,.01204,0.03,0.01
Login credentials entered,2,9131,7681,10581,10581,10581,7681,10581,0.000%,.01145,0.05,0.02
Dashboard Displayed,2,4618,3173,6064,6064,6064,3173,6064,0.000%,.01159,0.03,0.01
TC_Login,2,13749,10854,16645,16645,16645,10854,16645,0.000%,.01069,0.08,0.03
Redirected To PIM module,1,9497,9497,9497,9497,9497,9497,9497,0.000%,.10530,0.47,0.17
Redirected To ViewEmployeeList,1,3112,3112,3112,3112,3112,3112,3112,0.000%,.32134,0.94,0.27
TC_ClickPIMAndAddEmployee,2,10727,8846,12609,12609,12609,8846,12609,0.000%,.02787,0.25,0.08
Supervisor Information Entered,1,3663,3663,3663,3663,3663,3663,3663,0.000%,.27300,0.29,0.23
PersonalDetails Page Displayed,1,2179,2179,2179,2179,2179,2179,2179,0.000%,.45893,2.70,0.38
TC_EnterDetailsAnd ClickSave,1,5842,5842,5842,5842,5842,5842,5842,0.000%,.12015,0.83,0.20
Admin menu Clicked,1,6791,6791,6791,6791,6791,6791,6791,0.000%,.14725,0.71,0.25
Redirected to Admin module,1,7034,7034,7034,7034,7034,7034,7034,0.000%,.14217,0.47,0.12
Supervisor login credentials entered,1,4766,4766,4766,4766,4766,4766,4766,0.000%,.20982,0.25,0.18
TC_AddAdminRights,1,18591,18591,18591,18591,18591,18591,18591,0.000%,.04166,0.39,0.14
PIM menu clicked,1,4367,4367,4367,4367,4367,4367,4367,0.000%,.22899,1.02,0.38
View Employee page displayed,1,3174,3174,3174,3174,3174,3174,3174,0.000%,.31506,0.92,0.26
Add button clicked,1,1305,1305,1305,1305,1305,1305,1305,0.000%,.76628,2.24,0.64
Employee Information page displayed,1,1227,1227,1227,1227,1227,1227,1227,0.000%,.81500,0.78,0.60
Employee Details filled,1,1335,1335,1335,1335,1335,1335,1335,0.000%,.74906,0.78,0.64
TC_EnterDetailsAndClickSave,1,2562,2562,2562,2562,2562,2562,2562,0.000%,.19335,0.39,0.31
Clicked Job Category menu,1,3701,3701,3701,3701,3701,3701,3701,0.000%,.27020,1.28,0.23
Job category page displayed,1,1281,1281,1281,1281,1281,1281,1281,0.000%,.78064,0.82,0.54
Job related information page displayed,1,1233,1233,1233,1233,1233,1233,1233,0.000%,.81103,1.04,0.62
Entered Job Information,1,1575,1575,1575,1575,1575,1575,1575,0.000%,.63492,0.85,0.58
TC_AddJobCategory,1,7790,7790,7790,7790,7790,7790,7790,0.000%,.11151,0.94,0.36
Entered  Supervisor Information,1,3182,3182,3182,3182,3182,3182,3182,0.000%,.31427,0.34,0.26
TC_AddSuperVisor,1,3182,3182,3182,3182,3182,3182,3182,0.000%,.21997,0.24,0.18
Entered KPI Information,1,3167,3167,3167,3167,3167,3167,3167,0.000%,.31576,0.35,0.27
TC_AddKPI,1,3167,3167,3167,3167,3167,3167,3167,0.000%,.16255,0.18,0.14
Performance menu clicked,2,8166,4866,11467,11467,11467,4866,11467,0.000%,.02322,0.10,0.04
Performance page displayed,2,3997,2563,5431,5431,5431,2563,5431,0.000%,.02379,0.07,0.02
TC_ClickPerformance,1,10297,10297,10297,10297,10297,10297,10297,0.000%,.05972,0.44,0.15
Manage review page displayed,1,2995,2995,2995,2995,2995,2995,2995,0.000%,.33389,0.47,0.30
TC_ClickManageReviewsAndAdd,1,2995,2995,2995,2995,2995,2995,2995,0.000%,.33367,0.47,0.30
Review activation information entered,1,6581,6581,6581,6581,6581,6581,6581,0.000%,.15195,0.19,0.14
TC_EnterAddReviewDetailsAndClickActivate,1,6581,6581,6581,6581,6581,6581,6581,0.000%,.10772,0.13,0.10
Logout button clicked,2,8200,7007,9394,9394,9394,7007,9394,0.000%,.02051,0.08,0.03
Login page Displayed,2,5229,5068,5391,5391,5391,5068,5391,0.000%,.02138,0.05,0.02
TC_Logout,2,13430,12398,14462,14462,14462,12398,14462,0.000%,.01943,0.11,0.05
ReviewerId generated,1,2447,2447,2447,2447,2447,2447,2447,0.000%,.40866,0.57,0.37
Clicked employee review menu,1,2252,2252,2252,2252,2252,2252,2252,0.000%,.44405,1.27,0.39
Employee review page displayed,1,1640,1640,1640,1640,1640,1640,1640,0.000%,.60976,0.85,0.56
TC_ClickPerformanceAndEmployeeReview,1,20369,20369,20369,20369,20369,20369,20369,0.000%,.03463,0.45,0.18
Clicked the assigned review,1,3272,3272,3272,3272,3272,3272,3272,0.000%,.30562,0.88,0.27
TC_ClickReview,1,3272,3272,3272,3272,3272,3272,3272,0.000%,.30553,0.88,0.27
Entered the rating for the KPI id created,1,3918,3918,3918,3918,3918,3918,3918,0.000%,.25523,0.30,0.23
Entered the final rating and comment,1,3125,3125,3125,3125,3125,3125,3125,0.000%,.32000,0.40,0.29
Clikced the submit button,1,3257,3257,3257,3257,3257,3257,3257,0.000%,.30703,0.89,0.27
TC_EnterRatings,1,10300,10300,10300,10300,10300,10300,10300,0.000%,.06876,0.37,0.18
Debug Sampler,1,2,2,2,2,2,2,2,0.000%,500.00000,528.32,0.00
TOTAL,62,5777,3918,11467,14462,18591,2,20369,0.000%,.24872,0.87,0.34
