Label,# Samples,Average,Min,Max,Std. Dev.,Error %,Throughput,Received KB/sec,Sent KB/sec,Avg. Bytes
Application Launched,54,11588,3066,21931,4883.64,0.000%,.02740,0.06,0.02,2331.1
TC_Launch,54,11588,3066,21931,4883.64,0.000%,.02740,0.06,0.02,2331.1
Login credentials entered,54,31782,7681,48006,9599.86,1.852%,.02682,0.12,0.05,4480.6
Dashboard Displayed,53,12137,2848,22786,5213.61,7.547%,.02649,0.07,0.02,2867.1
TC_Login,53,43666,10854,70271,12813.60,7.547%,.02630,0.19,0.07,7322.9
Redirected To PIM module,2,8692,7888,9497,804.50,0.000%,.00139,0.01,0.00,4568.5
Redirected To ViewEmployeeList,2,3317,3112,3523,205.50,0.000%,.00140,0.00,0.00,2984.5
TC_ClickPIMAndAddEmployee,4,12548,8846,17329,3076.49,0.000%,.00264,0.02,0.01,9052.2
Supervisor Information Entered,2,2806,1949,3663,857.00,0.000%,.00140,0.00,0.00,1070.0
PersonalDetails Page Displayed,2,4512,2179,6846,2333.50,0.000%,.00140,0.01,0.00,5765.0
TC_EnterDetailsAnd ClickSave,2,7318,5842,8795,1476.50,0.000%,.00139,0.01,0.00,6835.0
Admin menu Clicked,2,7322,6791,7853,531.00,0.000%,.00139,0.01,0.00,4940.0
Redirected to Admin module,2,6992,6951,7034,41.50,0.000%,.00139,0.00,0.00,3351.0
Supervisor login credentials entered,2,6991,4766,9216,2225.00,0.000%,.00139,0.00,0.00,1200.5
TC_AddAdminRights,2,21305,18591,24020,2714.50,0.000%,.00137,0.01,0.00,9491.5
PIM menu clicked,2,6964,4367,9562,2597.50,0.000%,.00139,0.01,0.00,4568.5
View Employee page displayed,2,3986,3174,4798,812.00,0.000%,.00139,0.00,0.00,2984.5
Add button clicked,2,2137,1305,2969,832.00,0.000%,.00139,0.00,0.00,2998.5
Employee Information page displayed,2,2455,1227,3683,1228.00,0.000%,.00138,0.00,0.00,977.0
Employee Details filled,2,2942,1335,4549,1607.00,0.000%,.00138,0.00,0.00,1073.0
TC_EnterDetailsAndClickSave,2,5397,2562,8232,2835.00,0.000%,.00138,0.00,0.00,2050.0
Clicked Job Category menu,2,5117,3701,6534,1416.50,0.000%,.00138,0.01,0.00,4709.0
Job category page displayed,2,4064,1281,6848,2783.50,0.000%,.00137,0.00,0.00,1073.0
Job related information page displayed,2,2512,1233,3791,1279.00,0.000%,.00137,0.00,0.00,1318.0
Entered Job Information,2,3751,1575,5927,2176.00,0.000%,.00137,0.00,0.00,1377.0
TC_AddJobCategory,2,15445,7790,23100,7655.00,0.000%,.00136,0.01,0.00,8477.0
Entered  Supervisor Information,2,5440,3182,7699,2258.50,0.000%,.00136,0.00,0.00,1110.0
TC_AddSuperVisor,2,5440,3182,7699,2258.50,0.000%,.00136,0.00,0.00,1110.0
Entered KPI Information,2,5677,3167,8188,2510.50,0.000%,.00136,0.00,0.00,1124.0
TC_AddKPI,2,5677,3167,8188,2510.50,0.000%,.00135,0.00,0.00,1124.0
Performance menu clicked,47,23082,4866,38342,8379.01,14.894%,.02476,0.11,0.04,4667.2
Performance page displayed,40,11966,1289,22677,4739.88,7.500%,.02117,0.06,0.02,2982.0
TC_ClickPerformance,39,36199,10297,58675,10432.35,7.692%,.02051,0.15,0.05,7611.0
Manage review page displayed,36,11516,2149,23242,5097.31,2.778%,.01911,0.14,0.02,7430.1
TC_ClickManageReviewsAndAdd,36,11516,2149,23242,5097.31,2.778%,.01911,0.14,0.02,7430.1
Review activation information entered,35,12154,3286,20183,4273.73,5.714%,.01863,0.03,0.02,1390.3
TC_EnterAddReviewDetailsAndClickActivate,35,12154,3286,20183,4273.73,5.714%,.01860,0.03,0.02,1390.3
Logout button clicked,34,21017,1240,36287,7853.33,2.941%,.01816,0.07,0.03,3858.6
Login page Displayed,33,12123,5068,19930,3819.15,3.030%,.01772,0.04,0.01,2280.8
TC_Logout,33,33740,12398,51638,9405.22,3.030%,.01763,0.11,0.04,6146.0
ReviewerId generated,1,2447,2447,2447,0.00,0.000%,.40866,0.57,0.37,1424.0
Clicked employee review menu,1,2252,2252,2252,0.00,0.000%,.44405,1.27,0.39,2924.0
Employee review page displayed,1,1640,1640,1640,0.00,0.000%,.60976,0.85,0.56,1424.0
TC_ClickPerformanceAndEmployeeReview,1,20369,20369,20369,0.00,0.000%,.03463,0.45,0.18,13319.0
Clicked the assigned review,1,3272,3272,3272,0.00,0.000%,.30562,0.88,0.27,2965.0
TC_ClickReview,1,3272,3272,3272,0.00,0.000%,.30553,0.88,0.27,2965.0
Entered the rating for the KPI id created,1,3918,3918,3918,0.00,0.000%,.25523,0.30,0.23,1188.0
Entered the final rating and comment,1,3125,3125,3125,0.00,0.000%,.32000,0.40,0.29,1291.0
Clikced the submit button,1,3257,3257,3257,0.00,0.000%,.30703,0.89,0.27,2965.0
TC_EnterRatings,1,10300,10300,10300,0.00,0.000%,.06876,0.37,0.18,5444.0
Debug Sampler,1,2,2,2,0.00,0.000%,500.00000,528.32,0.00,1082.0
TOTAL,699,18891,2,70271,13457.35,4.435%,.34631,1.42,0.47,4201.1
